state,date,positive,negative,positiveIncrease,negativeIncrease,bigFlag,negativeJump,positiveJump
WI,20200315,33,313,14,144,0.035821473521154,0.460063897763578,0.424242424242424
AZ,20200305,2,28,0,1,0.035714285714286,0.035714285714286,0
IL,20200319,422,2725,134,962,0.035491977912083,0.35302752293578,0.317535545023697
WA,20200317,904,11582,135,2131,0.034656118817268,0.183992402003108,0.149336283185841
NH,20200321,55,973,11,228,0.034326824254882,0.234326824254882,0.2
ND,20200325,39,1734,5,280,0.033271227042853,0.161476355247982,0.128205128205128
NE,20200317,21,206,3,36,0.031900138696255,0.174757281553398,0.142857142857143
HI,20200325,90,4357,13,768,0.03182362991865,0.176268074363094,0.144444444444444
MA,20200320,413,3678,85,874,0.031818008260622,0.23762914627515,0.205811138014528
OK,20200320,49,538,5,72,0.031788179955997,0.133828996282528,0.102040816326531
OR,20200315,36,420,6,83,0.030952380952381,0.197619047619048,0.166666666666667
NE,20200319,27,240,3,34,0.030555555555556,0.141666666666667,0.111111111111111
FL,20200317,186,940,45,256,0.030404941660947,0.272340425531915,0.241935483870968
TN,20200326,957,13952,173,2940,0.029949227325453,0.21072247706422,0.180773249738767
NJ,20200312,30,74,6,17,0.02972972972973,0.22972972972973,0.2
PA,20200317,96,879,20,209,0.029436860068259,0.237770193401593,0.208333333333333
WA,20200319,1187,15918,175,2801,0.028533820073877,0.175964317125267,0.14743049705139
WV,20200326,51,1031,12,272,0.028527414845667,0.263821532492725,0.235294117647059
MN,20200314,21,847,7,306,0.027941755214483,0.361275088547816,0.333333333333333
SC,20200311,9,32,2,8,0.027777777777778,0.25,0.222222222222222
NH,20200322,65,1188,10,215,0.027130277130277,0.180976430976431,0.153846153846154
IN,20200320,79,475,23,151,0.026755496335776,0.317894736842105,0.291139240506329
CA,20200320,1063,10424,139,1637,0.026279448468654,0.157041442824252,0.130761994355597
LA,20200325,1795,9656,407,2441,0.026055241822886,0.252796188898095,0.226740947075209
ME,20200326,155,3394,6,217,0.025226680859962,0.063936358279317,0.038709677419355
MT,20200325,53,1948,7,305,0.024495370191004,0.156570841889117,0.132075471698113
NC,20200314,23,137,8,51,0.024436686766106,0.372262773722628,0.347826086956522
ID,20200318,9,459,2,113,0.023965141612201,0.246187363834423,0.222222222222222
MA,20200324,1159,12590,382,4445,0.02346350452754,0.353057982525814,0.329594477998274
SC,20200316,28,235,9,81,0.023252279635258,0.34468085106383,0.321428571428571
NV,20200327,535,6161,115,1464,0.0226704913482,0.237623762376238,0.214953271028037
KS,20200318,16,417,1,35,0.021432853717026,0.083932853717026,0.0625
VT,20200324,95,1440,20,334,0.021418128654971,0.231944444444444,0.210526315789474
WA,20200323,1996,28879,203,3551,0.021257914561767,0.122961321375394,0.101703406813627
WI,20200318,106,1577,34,539,0.021033488472261,0.341788205453392,0.320754716981132
IN,20200326,645,4006,168,1127,0.020862891708948,0.281328007988018,0.26046511627907
ME,20200323,107,2791,18,527,0.020596911970051,0.188821211035471,0.168224299065421
RI,20200327,165,1366,0,27,0.019765739385066,0.019765739385066,0
AZ,20200317,20,142,2,17,0.019718309859155,0.119718309859155,0.1
PA,20200314,47,205,14,65,0.019200830306176,0.317073170731707,0.297872340425532
IL,20200325,1865,12344,330,2410,0.018292852439192,0.195236552171095,0.176943699731904
VA,20200312,17,117,8,57,0.01659125188537,0.487179487179487,0.470588235294118
SC,20200318,60,583,27,272,0.016552315608919,0.466552315608919,0.45
KY,20200314,14,139,3,32,0.015930113052415,0.230215827338129,0.214285714285714
IN,20200323,259,1701,58,408,0.015920682587349,0.239858906525573,0.223938223938224
PA,20200322,479,4964,108,1198,0.015867902341536,0.241337630942788,0.225469728601253
NM,20200326,112,7681,12,939,0.015106849926535,0.122249707069392,0.107142857142857
IL,20200315,64,449,18,133,0.014963808463252,0.296213808463252,0.28125
OR,20200326,327,6953,118,2603,0.013514506091798,0.374370775204947,0.36085626911315
ND,20200321,28,1141,8,341,0.013146362839614,0.2988606485539,0.285714285714286
UT,20200325,346,6491,47,967,0.013137354255737,0.148975504544754,0.135838150289017
MD,20200310,6,89,1,16,0.01310861423221,0.179775280898876,0.166666666666667
KY,20200318,26,354,4,59,0.012820512820513,0.166666666666667,0.153846153846154
MA,20200321,525,4752,112,1074,0.012676767676768,0.226010101010101,0.213333333333333
WA,20200321,1524,21719,148,2383,0.012606739457536,0.109719600349924,0.097112860892389
SD,20200317,11,551,1,57,0.012539184952978,0.103448275862069,0.090909090909091
NE,20200326,73,1584,12,280,0.012384115123841,0.176767676767677,0.164383561643836
TN,20200313,26,116,8,37,0.011273209549072,0.318965517241379,0.307692307692308
OR,20200319,88,1329,13,211,0.011038716738491,0.158765989465764,0.147727272727273
OR,20200318,75,1118,28,429,0.010387596899225,0.383720930232558,0.373333333333333
WA,20200318,1012,13117,108,1535,0.010304342100783,0.117023709689716,0.106719367588933
FL,20200313,50,478,18,177,0.010292887029289,0.370292887029289,0.36
FL,20200327,2765,28186,410,4445,0.009420307800328,0.157702405449514,0.148282097649186
LA,20200317,171,286,57,98,0.009324009324009,0.342657342657343,0.333333333333333
OR,20200322,161,2864,47,861,0.008703025781602,0.300628491620112,0.291925465838509
